host_identity_verified,neighbourhood group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,reviews per month,review rate number,calculated host listings count,availability 365
unconfirmed,Manhattan,Midtown,40.75417,-73.96557,True,flexible,Entire home/apt,2009,848.0,170.0,3,8,1.02,5.0,49,188
unconfirmed,Manhattan,Midtown,40.75402,-73.96567,False,moderate,Entire home/apt,2018,231.0,46.0,3,1,0.21,4.0,49,222
unconfirmed,Manhattan,Midtown,40.75451,-73.96708,False,strict,Entire home/apt,2005,1010.0,202.0,3,0,0.74,2.0,49,206
unconfirmed,Manhattan,Midtown,40.75425,-73.96556,True,moderate,Entire home/apt,2021,979.0,196.0,3,4,0.36,3.0,49,249
unconfirmed,Manhattan,Midtown,40.75294,-73.96731,False,flexible,Entire home/apt,2017,1162.0,232.0,3,2,0.4,2.0,49,235
unconfirmed,Manhattan,Midtown,40.75269,-73.96678,True,moderate,Entire home/apt,2007,908.0,182.0,3,5,1.17,4.0,49,230
verified,Manhattan,Midtown,40.75308,-73.96732,False,strict,Entire home/apt,2022,316.0,63.0,3,9,1.09,2.0,49,190
unconfirmed,Manhattan,Midtown,40.75231,-73.96707,True,flexible,Entire home/apt,2007,1196.0,239.0,3,7,1.27,2.0,49,176
unconfirmed,Manhattan,Midtown,40.75283,-73.96675,False,flexible,Entire home/apt,2015,390.0,78.0,3,3,0.33,2.0,49,196
unconfirmed,Manhattan,Midtown,40.75459,-73.96707,True,strict,Entire home/apt,2022,1077.0,215.0,3,3,0.44,3.0,49,153
verified,Manhattan,Midtown,40.75238,-73.96653,False,strict,Entire home/apt,2017,660.0,132.0,3,2,0.71,5.0,49,224
verified,Queens,Ditmars Steinway,40.77214,-73.89169,True,strict,Private room,2013,342.0,68.0,1,39,3.38,2.0,4,353
unconfirmed,Brooklyn,Crown Heights,40.66516,-73.94097,True,flexible,Private room,2011,97.0,19.0,1,13,1.13,3.0,1,301
verified,Brooklyn,Williamsburg,40.70756,-73.94269,False,strict,Private room,2006,230.0,46.0,2,29,2.54,4.0,2,330
unconfirmed,Brooklyn,Williamsburg,40.70936,-73.94427,False,strict,Private room,2003,445.0,89.0,2,28,2.61,3.0,3,365
unconfirmed,Queens,Ditmars Steinway,40.77309,-73.89256,True,strict,Private room,2020,1081.0,216.0,1,41,3.66,2.0,4,349
verified,Manhattan,West Village,40.73394,-74.00175,False,flexible,Entire home/apt,2018,997.0,199.0,2,3,0.27,2.0,1,0
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.69128,-73.94311,True,moderate,Private room,2021,744.0,149.0,2,24,2.22,2.0,2,360
verified,Manhattan,East Village,40.72401,-73.98154,False,strict,Private room,2015,682.0,136.0,30,3,0.3,3.0,2,34
verified,Queens,Ditmars Steinway,40.77248,-73.89263,True,moderate,Private room,2016,137.0,27.0,1,32,2.83,4.0,4,355
unconfirmed,Queens,Cambria Heights,40.69159,-73.73658,True,moderate,Private room,2016,835.0,167.0,2,27,2.34,4.0,2,79
unconfirmed,Brooklyn,Cypress Hills,40.68351,-73.88448,True,flexible,Entire home/apt,2008,833.0,167.0,2,14,1.48,3.0,2,180
verified,Manhattan,Midtown,40.75424,-73.96312,True,flexible,Entire home/apt,2017,501.0,100.0,30,0,0.74,3.0,65,364
verified,Manhattan,Midtown,40.75909,-73.96398,True,strict,Entire home/apt,2018,1066.0,213.0,30,0,0.74,4.0,65,364
unconfirmed,Manhattan,Murray Hill,40.74422,-73.97124,False,flexible,Entire home/apt,2014,555.0,111.0,60,0,0.74,5.0,65,327
unconfirmed,Queens,Ridgewood,40.70108,-73.90222,True,strict,Entire home/apt,2018,551.0,110.0,2,3,0.27,4.0,1,40
verified,Manhattan,Kips Bay,40.74075,-73.97674,False,moderate,Entire home/apt,2022,939.0,188.0,1,0,0.74,5.0,1,0
verified,Brooklyn,Midwood,40.62771,-73.96381,False,strict,Private room,2014,1080.0,216.0,1,22,1.9,3.0,1,0
unconfirmed,Manhattan,Hell's Kitchen,40.75562,-73.99539,False,flexible,Private room,2009,249.0,50.0,30,8,0.71,2.0,47,351
unconfirmed,Manhattan,Hell's Kitchen,40.76243,-73.99078,False,strict,Private room,2016,959.0,192.0,3,3,0.26,5.0,1,5
unconfirmed,Brooklyn,Bushwick,40.70382,-73.91456,False,flexible,Entire home/apt,2015,843.0,169.0,2,25,2.37,4.0,2,260
unconfirmed,Brooklyn,Williamsburg,40.70713,-73.92918,True,flexible,Private room,2015,1142.0,228.0,2,18,1.61,5.0,2,5
unconfirmed,Brooklyn,Williamsburg,40.70757,-73.94466,True,moderate,Private room,2004,214.0,43.0,2,23,2.18,2.0,3,365
verified,Brooklyn,Williamsburg,40.7089,-73.94447,False,moderate,Private room,2007,208.0,42.0,2,17,1.53,5.0,3,342
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.68571,-73.93868,False,moderate,Entire home/apt,2018,572.0,114.0,3,22,1.94,3.0,2,314
verified,Manhattan,Inwood,40.86813,-73.92393,True,strict,Private room,2009,905.0,181.0,30,9,0.81,2.0,1,57
verified,Brooklyn,Bushwick,40.69752,-73.93497,False,strict,Entire home/apt,2010,976.0,195.0,2,5,0.79,3.0,1,128
unconfirmed,Manhattan,Midtown,40.7562,-73.96796,True,strict,Entire home/apt,2012,182.0,36.0,1,35,3.37,3.0,1,35
verified,Bronx,Mott Haven,40.81192,-73.91781,True,moderate,Entire home/apt,2012,420.0,84.0,1,44,3.91,2.0,1,103
verified,Manhattan,Harlem,40.80765,-73.95484,True,flexible,Entire home/apt,2017,142.0,28.0,3,4,0.37,4.0,1,24
verified,Brooklyn,Williamsburg,40.70562,-73.92734,True,moderate,Private room,2018,1065.0,213.0,1,2,0.44,3.0,1,0
verified,Queens,Ridgewood,40.70665,-73.90969,False,flexible,Private room,2015,101.0,20.0,7,4,0.36,4.0,2,0
verified,Queens,Flushing,40.74702,-73.82618,True,flexible,Private room,2003,1196.0,239.0,28,0,0.74,5.0,1,123
verified,Manhattan,Midtown,40.75579,-73.9652,False,flexible,Entire home/apt,2011,228.0,46.0,30,0,0.74,4.0,65,364
unconfirmed,Manhattan,East Village,40.72817,-73.9773,False,flexible,Private room,2013,467.0,93.0,5,9,0.97,3.0,1,110
verified,Manhattan,Midtown,40.75375,-73.96362,False,strict,Entire home/apt,2011,72.0,14.0,30,0,0.74,4.0,65,364
verified,Brooklyn,Bedford-Stuyvesant,40.68593,-73.94628,False,flexible,Private room,2019,955.0,191.0,2,3,0.29,4.0,1,0
verified,Manhattan,Midtown,40.74573,-73.99049,True,flexible,Entire home/apt,2006,655.0,131.0,30,0,0.74,4.0,65,339
verified,Brooklyn,Bushwick,40.70743,-73.92294,True,strict,Entire home/apt,2015,490.0,98.0,4,7,0.63,5.0,3,54
unconfirmed,Manhattan,Hell's Kitchen,40.75974,-73.99016,True,flexible,Private room,2017,995.0,199.0,1,69,6.22,2.0,12,232
verified,Manhattan,Hell's Kitchen,40.76037,-73.9917,False,flexible,Private room,2003,1006.0,201.0,1,63,5.71,4.0,12,267
unconfirmed,Manhattan,Hell's Kitchen,40.75983,-73.99119,False,moderate,Private room,2010,1102.0,220.0,1,82,7.34,4.0,12,230
unconfirmed,Manhattan,Hell's Kitchen,40.76629,-73.986,False,flexible,Entire home/apt,2013,928.0,186.0,30,0,0.74,5.0,65,364
verified,Manhattan,Hell's Kitchen,40.75981,-73.99011,True,moderate,Private room,2020,1057.0,211.0,1,79,6.99,4.0,12,241
verified,Manhattan,Kips Bay,40.74324,-73.97224,False,moderate,Entire home/apt,2015,422.0,84.0,29,0,0.74,4.0,96,7
verified,Brooklyn,Bedford-Stuyvesant,40.6838,-73.95161,False,strict,Private room,2014,499.0,100.0,2,25,2.29,3.0,7,349
unconfirmed,Brooklyn,Williamsburg,40.71796,-73.957,False,flexible,Private room,2015,685.0,137.0,30,2,2.0,2.0,3,310
verified,Brooklyn,Williamsburg,40.71918,-73.95735,True,strict,Private room,2012,716.0,143.0,30,0,0.74,2.0,3,310
verified,Brooklyn,Williamsburg,40.71763,-73.95594,True,flexible,Private room,2020,884.0,177.0,30,0,0.74,4.0,3,310
verified,Brooklyn,Bedford-Stuyvesant,40.68511,-73.94948,True,flexible,Private room,2007,1051.0,210.0,2,21,1.95,5.0,7,362
unconfirmed,Manhattan,West Village,40.73214,-74.00531,True,flexible,Entire home/apt,2019,231.0,46.0,2,14,1.24,4.0,1,0
verified,Queens,Ridgewood,40.70161,-73.90556,True,strict,Private room,2004,455.0,91.0,30,0,0.74,5.0,8,312
verified,Queens,Ridgewood,40.70296,-73.9056,True,strict,Private room,2021,1139.0,228.0,30,1,0.14,4.0,8,314
verified,Queens,Ridgewood,40.70176,-73.90435,True,flexible,Private room,2020,722.0,144.0,30,1,0.71,3.0,8,347
verified,Queens,Ridgewood,40.70378,-73.90582,False,flexible,Private room,2011,460.0,92.0,30,1,0.14,3.0,8,163
verified,Queens,Ridgewood,40.701,-73.90607,True,moderate,Private room,2016,424.0,85.0,30,1,0.54,2.0,8,321
verified,Queens,Ridgewood,40.70285,-73.90411,True,moderate,Private room,2016,765.0,153.0,30,1,0.77,2.0,8,331
verified,Queens,Ridgewood,40.70175,-73.90552,False,flexible,Private room,2008,780.0,156.0,30,0,0.74,3.0,8,340
verified,Queens,Woodhaven,40.6905,-73.86117,True,flexible,Private room,2006,1171.0,234.0,3,4,0.36,2.0,1,342
verified,Manhattan,East Harlem,40.7962,-73.94894,False,flexible,Private room,2021,242.0,48.0,1,6,0.53,3.0,1,0
unconfirmed,Manhattan,Gramercy,40.73508,-73.98477,True,moderate,Entire home/apt,2017,348.0,70.0,3,21,1.86,3.0,2,10
verified,Manhattan,East Village,40.72701,-73.97909,True,moderate,Private room,2021,1099.0,220.0,1,5,0.46,5.0,1,0
unconfirmed,Manhattan,Upper East Side,40.76618,-73.9562,True,flexible,Private room,2012,360.0,72.0,1,18,1.66,5.0,5,0
verified,Brooklyn,Bedford-Stuyvesant,40.68855,-73.9443,False,strict,Entire home/apt,2010,983.0,197.0,5,28,2.96,3.0,1,225
verified,Manhattan,Nolita,40.72159,-73.9962,True,strict,Entire home/apt,2011,591.0,118.0,1,28,2.52,3.0,1,45
verified,Manhattan,Theater District,40.76193,-73.98236,True,moderate,Entire home/apt,2007,893.0,179.0,7,0,0.74,3.0,1,0
unconfirmed,Brooklyn,Red Hook,40.67349,-74.00589,True,strict,Private room,2019,1109.0,222.0,1,7,0.66,3.0,2,48
unconfirmed,Bronx,Wakefield,40.88878,-73.86349,True,moderate,Private room,2014,753.0,151.0,1,1,0.17,3.0,1,269
verified,Brooklyn,Red Hook,40.67381,-74.00762,False,flexible,Private room,2021,455.0,91.0,1,25,2.17,5.0,2,351
verified,Manhattan,East Harlem,40.8087,-73.93897,True,strict,Private room,2019,920.0,184.0,2,38,3.36,4.0,6,0
unconfirmed,Brooklyn,Sunset Park,40.64431,-74.01261,True,moderate,Private room,2009,1195.0,239.0,1,7,0.75,2.0,4,32
verified,Manhattan,Murray Hill,40.74688,-73.97342,False,strict,Entire home/apt,2009,56.0,11.0,30,0,0.74,5.0,65,364
verified,Manhattan,Chelsea,40.74631,-73.99121,True,flexible,Entire home/apt,2009,1192.0,238.0,30,0,0.74,4.0,65,364
verified,Manhattan,Upper East Side,40.7732,-73.95029,False,moderate,Entire home/apt,2010,867.0,173.0,30,0,0.74,4.0,65,364
unconfirmed,Manhattan,Upper East Side,40.76852,-73.96245,True,strict,Entire home/apt,2016,791.0,158.0,30,0,0.74,5.0,65,346
verified,Manhattan,Upper East Side,40.77964,-73.95865,True,flexible,Entire home/apt,2022,685.0,137.0,30,0,0.74,2.0,65,315
unconfirmed,Queens,Breezy Point,40.56568,-73.87009,True,flexible,Private room,2019,130.0,26.0,1,1,0.09,2.0,2,59
unconfirmed,Queens,Woodhaven,40.69062,-73.84747,True,flexible,Entire home/apt,2022,1090.0,218.0,5,1,0.09,3.0,2,0
unconfirmed,Manhattan,Little Italy,40.71927,-73.99451,True,strict,Entire home/apt,2020,616.0,123.0,30,3,0.31,2.0,11,104
verified,Brooklyn,Bedford-Stuyvesant,40.6855,-73.95677,True,strict,Entire home/apt,2021,702.0,140.0,3,20,1.94,2.0,1,0
unconfirmed,Manhattan,Hell's Kitchen,40.76435,-73.99298,True,moderate,Private room,2020,796.0,159.0,1,8,0.7,2.0,1,30
unconfirmed,Queens,Flushing,40.76003,-73.83307,False,moderate,Private room,2022,547.0,109.0,1,25,2.43,4.0,4,317
verified,Manhattan,Harlem,40.82209,-73.95423,False,moderate,Private room,2012,965.0,193.0,1,0,0.74,5.0,1,302
unconfirmed,Brooklyn,Crown Heights,40.67782,-73.9474,True,moderate,Entire home/apt,2009,586.0,117.0,7,0,0.74,4.0,1,0
verified,Brooklyn,Crown Heights,40.67189,-73.95624,False,strict,Entire home/apt,2012,1055.0,211.0,3,42,3.82,4.0,1,100
unconfirmed,Brooklyn,South Slope,40.66477,-73.97999,True,strict,Private room,2022,1070.0,214.0,1,18,1.65,3.0,2,308
unconfirmed,Manhattan,West Village,40.73858,-74.00619,False,flexible,Entire home/apt,2017,383.0,77.0,4,1,0.1,2.0,1,232
unconfirmed,Queens,Flushing,40.75749,-73.81983,False,strict,Private room,2004,1018.0,204.0,1,33,2.87,2.0,9,365
unconfirmed,Brooklyn,Bushwick,40.69629,-73.91351,True,flexible,Private room,2008,1005.0,201.0,1,86,7.7,5.0,1,198
unconfirmed,Manhattan,East Village,40.72071,-73.97822,False,flexible,Private room,2007,1081.0,216.0,5,2,0.18,5.0,1,0
verified,Brooklyn,East Flatbush,40.65473,-73.91846,False,flexible,Private room,2016,1133.0,227.0,7,1,0.16,4.0,9,365
verified,Queens,Flushing,40.75897,-73.82011,True,strict,Private room,2019,1100.0,220.0,1,30,2.66,4.0,9,353
unconfirmed,Manhattan,Harlem,40.82469,-73.94176,True,moderate,Entire home/apt,2004,919.0,184.0,2,25,2.43,3.0,1,180
verified,Bronx,Highbridge,40.83454,-73.92751,True,flexible,Private room,2010,585.0,117.0,1,0,0.74,4.0,1,180
unconfirmed,Brooklyn,Fort Greene,40.68462,-73.96908,False,strict,Entire home/apt,2010,1182.0,236.0,225,0,0.74,5.0,1,365
verified,Manhattan,Harlem,40.82698,-73.93871,False,moderate,Private room,2011,588.0,118.0,1,22,2.33,5.0,2,105
verified,Brooklyn,Bushwick,40.68636,-73.90731,False,flexible,Private room,2017,924.0,185.0,4,2,0.18,5.0,2,0
unconfirmed,Queens,Woodside,40.74411,-73.91077,True,strict,Private room,2003,504.0,101.0,30,2,0.45,3.0,103,216
verified,Brooklyn,Bushwick,40.693,-73.91078,True,flexible,Entire home/apt,2005,497.0,99.0,1,79,7.18,5.0,1,173
verified,Brooklyn,Bedford-Stuyvesant,40.6874,-73.95036,True,strict,Private room,2016,1020.0,204.0,2,32,2.89,2.0,1,37
unconfirmed,Manhattan,Inwood,40.86912,-73.92183,False,strict,Entire home/apt,2022,730.0,146.0,2,6,0.53,4.0,1,0
unconfirmed,Manhattan,West Village,40.73494,-74.00463,False,strict,Entire home/apt,2021,354.0,71.0,30,1,1.0,3.0,1,86
unconfirmed,Manhattan,Chelsea,40.75313,-74.00235,True,moderate,Private room,2004,455.0,91.0,1,4,0.56,5.0,1,5
verified,Queens,Woodhaven,40.69109,-73.84846,False,moderate,Entire home/apt,2015,556.0,111.0,5,4,0.44,3.0,2,0
unconfirmed,Queens,Jackson Heights,40.75212,-73.88248,False,strict,Private room,2009,430.0,86.0,4,3,0.3,2.0,2,175
unconfirmed,Bronx,Longwood,40.81822,-73.90812,True,flexible,Private room,2020,854.0,171.0,5,8,0.77,4.0,2,179
unconfirmed,Brooklyn,Bushwick,40.70624,-73.9177,True,moderate,Entire home/apt,2020,558.0,112.0,5,14,1.24,4.0,1,305
unconfirmed,Queens,Flushing,40.73717,-73.80847,True,moderate,Private room,2020,215.0,43.0,1,16,1.46,3.0,1,153
verified,Brooklyn,Bedford-Stuyvesant,40.6889,-73.93733,False,flexible,Private room,2021,278.0,56.0,2,40,3.79,5.0,1,13
verified,Manhattan,Upper East Side,40.77134,-73.95498,False,moderate,Entire home/apt,2022,1121.0,224.0,2,24,2.48,4.0,1,242
unconfirmed,Brooklyn,Canarsie,40.64228,-73.90819,True,moderate,Private room,2012,419.0,84.0,2,5,0.5,4.0,3,180
unconfirmed,Brooklyn,Flatbush,40.63876,-73.96025,False,moderate,Entire home/apt,2003,948.0,190.0,1,0,0.74,3.0,1,17
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.69156,-73.94846,True,moderate,Private room,2004,542.0,108.0,4,3,0.27,3.0,1,0
verified,Brooklyn,Bushwick,40.70055,-73.93024,False,strict,Private room,2021,1126.0,225.0,2,32,2.97,2.0,1,158
verified,Manhattan,East Harlem,40.79832,-73.9398,True,moderate,Private room,2008,180.0,36.0,2,18,1.86,5.0,1,209
unconfirmed,Brooklyn,Flatbush,40.6498,-73.95592,True,strict,Private room,2014,756.0,151.0,1,0,0.74,3.0,1,0
verified,Brooklyn,Williamsburg,40.71425,-73.9623,False,moderate,Entire home/apt,2014,508.0,102.0,5,0,0.74,3.0,1,0
unconfirmed,Bronx,Allerton,40.87015,-73.85582,True,moderate,Entire home/apt,2019,1042.0,208.0,4,35,3.13,4.0,1,169
verified,Brooklyn,Park Slope,40.6726,-73.98195,True,moderate,Entire home/apt,2016,268.0,54.0,2,24,3.27,5.0,1,2
unconfirmed,Manhattan,East Village,40.72875,-73.98443,True,moderate,Private room,2021,181.0,36.0,2,15,1.49,3.0,1,29
unconfirmed,Manhattan,Upper East Side,40.76841,-73.95402,False,strict,Entire home/apt,2011,749.0,150.0,2,23,2.04,3.0,1,2
verified,Manhattan,Upper East Side,40.77687,-73.95173,True,moderate,Entire home/apt,2006,448.0,90.0,30,0,0.74,5.0,96,0
verified,Brooklyn,Williamsburg,40.71133,-73.96806,False,flexible,Entire home/apt,2019,222.0,44.0,4,4,0.38,2.0,1,0
unconfirmed,Brooklyn,Bushwick,40.69743,-73.92929,False,moderate,Private room,2009,190.0,38.0,1,27,2.45,3.0,1,29
unconfirmed,Manhattan,Nolita,40.72191,-73.99592,False,moderate,Entire home/apt,2022,474.0,95.0,3,52,5.2,4.0,1,119
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.67936,-73.91375,True,flexible,Entire home/apt,2020,175.0,35.0,2,30,2.77,5.0,1,69
verified,Manhattan,Kips Bay,40.73968,-73.98217,True,strict,Entire home/apt,2021,659.0,132.0,5,18,1.65,5.0,1,248
unconfirmed,Brooklyn,East New York,40.66983,-73.87745,False,strict,Private room,2016,1003.0,201.0,7,16,1.42,4.0,3,287
unconfirmed,Brooklyn,East New York,40.67061,-73.8759,True,flexible,Private room,2008,696.0,139.0,7,24,2.11,3.0,3,313
verified,Manhattan,Harlem,40.81968,-73.9436,False,moderate,Private room,2011,764.0,153.0,2,39,3.42,5.0,1,29
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.69519,-73.95465,True,moderate,Entire home/apt,2014,330.0,66.0,2,12,1.09,3.0,1,0
unconfirmed,Queens,Flushing,40.74764,-73.81795,True,strict,Private room,2009,264.0,53.0,1,37,3.31,5.0,6,364
verified,Queens,Ozone Park,40.68221,-73.8457,True,moderate,Private room,2010,805.0,161.0,4,27,2.45,5.0,4,87
verified,Brooklyn,Bushwick,40.70024,-73.924,False,moderate,Private room,2014,301.0,60.0,3,2,0.18,4.0,3,0
verified,Brooklyn,Bedford-Stuyvesant,40.69974,-73.94658,True,moderate,Private room,2007,886.0,177.0,400,0,0.74,3.0,1,90
verified,Brooklyn,Crown Heights,40.67713,-73.94137,False,strict,Private room,2009,847.0,169.0,3,0,0.74,3.0,1,179
verified,Queens,Flushing,40.74766,-73.81942,False,moderate,Private room,2008,344.0,69.0,1,38,3.52,3.0,6,363
unconfirmed,Manhattan,Greenwich Village,40.72862,-74.00054,True,moderate,Entire home/apt,2005,500.0,100.0,4,0,0.74,2.0,1,188
verified,Brooklyn,Fort Greene,40.68712,-73.97768,False,moderate,Entire home/apt,2003,634.0,127.0,20,2,0.25,3.0,2,0
verified,Brooklyn,Sheepshead Bay,40.59356,-73.95869,True,strict,Entire home/apt,2021,223.0,45.0,30,0,0.74,4.0,1,0
unconfirmed,Brooklyn,Williamsburg,40.71353,-73.94162,True,strict,Private room,2015,162.0,32.0,1,4,0.39,2.0,2,8
unconfirmed,Brooklyn,Williamsburg,40.71449,-73.94195,True,moderate,Entire home/apt,2017,80.0,16.0,2,3,0.32,3.0,2,0
verified,Manhattan,Harlem,40.81968,-73.93858,True,flexible,Private room,2007,1020.0,204.0,1,7,0.64,2.0,1,0
unconfirmed,Staten Island,Grymes Hill,40.6157,-74.0985,True,moderate,Private room,2011,558.0,112.0,1,1,0.12,4.0,1,65
verified,Manhattan,East Village,40.72239,-73.9821,False,moderate,Private room,2004,58.0,12.0,3,23,2.09,5.0,1,9
verified,Brooklyn,Williamsburg,40.71939,-73.96056,True,strict,Entire home/apt,2007,1038.0,208.0,2,23,2.2,2.0,2,328
verified,Bronx,Fordham,40.86299,-73.89088,True,flexible,Private room,2003,1006.0,201.0,2,14,1.26,2.0,1,210
unconfirmed,Brooklyn,East Flatbush,40.64933,-73.94539,False,moderate,Entire home/apt,2015,131.0,26.0,1,57,5.06,4.0,3,223
unconfirmed,Brooklyn,South Slope,40.66793,-73.98934,False,flexible,Entire home/apt,2008,767.0,153.0,3,22,2.18,3.0,1,144
unconfirmed,Brooklyn,Williamsburg,40.71784,-73.96363,False,moderate,Private room,2021,281.0,56.0,1,18,1.62,2.0,2,9
verified,Manhattan,Financial District,40.70852,-74.00525,False,moderate,Entire home/apt,2014,80.0,16.0,29,0,0.74,3.0,96,345
unconfirmed,Manhattan,Chelsea,40.74083,-73.99457,False,flexible,Entire home/apt,2018,791.0,158.0,29,0,0.74,4.0,96,335
unconfirmed,Manhattan,Midtown,40.74812,-73.98602,True,flexible,Entire home/apt,2008,225.0,45.0,29,0,0.74,2.0,96,219
unconfirmed,Manhattan,Chelsea,40.74272,-73.99599,False,flexible,Entire home/apt,2008,1180.0,236.0,29,0,0.74,2.0,96,279
unconfirmed,Manhattan,Midtown,40.74803,-73.98666,False,moderate,Entire home/apt,2018,526.0,105.0,29,0,0.74,5.0,96,219
verified,Manhattan,Chelsea,40.743,-73.99521,False,strict,Entire home/apt,2015,924.0,185.0,29,3,0.37,5.0,96,254
verified,Manhattan,Midtown,40.7482,-73.98776,True,moderate,Entire home/apt,2003,372.0,74.0,29,0,0.74,2.0,96,218
verified,Manhattan,Chelsea,40.7429,-73.99428,True,moderate,Entire home/apt,2011,128.0,26.0,29,2,0.29,5.0,96,311
verified,Manhattan,Kips Bay,40.74295,-73.97177,True,moderate,Entire home/apt,2007,330.0,66.0,29,0,0.74,3.0,96,323
verified,Manhattan,Murray Hill,40.74416,-73.9727,False,flexible,Entire home/apt,2003,462.0,92.0,29,5,0.74,5.0,3,49
verified,Queens,Jackson Heights,40.75589,-73.85755,False,flexible,Private room,2018,365.0,73.0,1,38,3.76,3.0,1,315
unconfirmed,Brooklyn,Williamsburg,40.71448,-73.95198,True,flexible,Entire home/apt,2016,511.0,102.0,4,0,0.74,2.0,1,87
unconfirmed,Manhattan,Chelsea,40.74564,-74.0006,True,moderate,Entire home/apt,2004,287.0,57.0,1,12,1.09,5.0,1,6
verified,Queens,Edgemere,40.59684,-73.76873,True,strict,Entire home/apt,2017,533.0,107.0,1,7,0.62,3.0,2,311
unconfirmed,Brooklyn,Greenpoint,40.7308,-73.95775,False,moderate,Entire home/apt,2020,522.0,104.0,4,1,1.0,3.0,1,168
unconfirmed,Brooklyn,Greenpoint,40.7244,-73.95435,True,flexible,Entire home/apt,2015,1113.0,223.0,4,0,0.74,3.0,2,177
verified,Brooklyn,Kensington,40.64205,-73.98049,False,flexible,Private room,2003,1126.0,225.0,1,19,1.69,2.0,11,28
verified,Brooklyn,Bensonhurst,40.60557,-73.99799,True,strict,Entire home/apt,2010,1199.0,240.0,2,27,2.57,4.0,2,128
verified,Manhattan,Hell's Kitchen,40.76335,-73.98737,True,strict,Private room,2016,775.0,155.0,2,41,4.17,5.0,1,67
verified,Brooklyn,Bushwick,40.70296,-73.91755,False,flexible,Private room,2013,155.0,31.0,7,2,0.18,4.0,1,0
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.68033,-73.91023,False,strict,Private room,2020,1093.0,219.0,30,1,0.1,2.0,1,62
unconfirmed,Queens,Astoria,40.75519,-73.91582,True,strict,Private room,2017,755.0,151.0,2,2,0.2,2.0,1,0
verified,Manhattan,Midtown,40.75632,-73.96795,False,flexible,Entire home/apt,2006,1055.0,211.0,30,0,0.74,2.0,65,249
unconfirmed,Manhattan,Midtown,40.76634,-73.98155,True,strict,Entire home/apt,2008,706.0,141.0,30,0,0.74,2.0,65,249
verified,Manhattan,Midtown,40.76541,-73.98179,True,moderate,Entire home/apt,2005,508.0,102.0,30,0,0.74,2.0,65,364
unconfirmed,Manhattan,Hell's Kitchen,40.76029,-73.99811,False,flexible,Entire home/apt,2009,573.0,115.0,30,0,0.74,2.0,65,365
unconfirmed,Manhattan,Theater District,40.75975,-73.98698,False,moderate,Entire home/apt,2014,59.0,12.0,30,0,0.74,5.0,65,250
unconfirmed,Manhattan,Hell's Kitchen,40.76191,-73.99818,False,moderate,Entire home/apt,2010,744.0,149.0,30,0,0.74,3.0,65,281
unconfirmed,Manhattan,Hell's Kitchen,40.76181,-73.99855,True,flexible,Entire home/apt,2010,198.0,40.0,30,0,0.74,3.0,65,281
verified,Manhattan,Midtown,40.7525,-73.96683,True,flexible,Entire home/apt,2018,471.0,94.0,30,0,0.74,4.0,65,339
verified,Manhattan,Midtown,40.76366,-73.98342,False,moderate,Entire home/apt,2020,121.0,24.0,30,0,0.74,4.0,65,329
verified,Brooklyn,Sunset Park,40.65945,-73.99383,False,moderate,Entire home/apt,2010,1079.0,216.0,2,12,1.08,5.0,1,2
verified,Manhattan,Upper West Side,40.779,-73.98319,False,flexible,Entire home/apt,2012,970.0,194.0,30,0,0.74,3.0,65,342
verified,Brooklyn,Williamsburg,40.70732,-73.94536,False,moderate,Private room,2019,1005.0,201.0,3,12,1.08,4.0,3,90
verified,Manhattan,Murray Hill,40.74632,-73.97307,False,strict,Entire home/apt,2010,109.0,22.0,30,0,0.74,5.0,65,364
unconfirmed,Manhattan,Upper West Side,40.7737,-73.99027,True,flexible,Private room,2011,1043.0,209.0,1,7,0.61,3.0,1,0
unconfirmed,Manhattan,Upper West Side,40.77071,-73.98545,True,moderate,Entire home/apt,2019,1151.0,230.0,30,0,0.74,5.0,65,348
unconfirmed,Queens,Richmond Hill,40.69103,-73.83407,True,strict,Entire home/apt,2019,1088.0,218.0,3,6,0.55,3.0,1,162
unconfirmed,Manhattan,Upper West Side,40.77095,-73.98626,True,strict,Entire home/apt,2009,314.0,63.0,30,0,0.74,2.0,65,364
verified,Manhattan,Hell's Kitchen,40.76711,-73.98685,False,strict,Entire home/apt,2006,402.0,80.0,30,0,0.74,5.0,65,275
unconfirmed,Manhattan,Kips Bay,40.73865,-73.9781,False,strict,Entire home/apt,2013,1068.0,214.0,30,0,0.74,4.0,65,364
verified,Manhattan,East Village,40.73223,-73.98658,False,moderate,Entire home/apt,2013,1079.0,216.0,30,0,0.74,3.0,65,332
unconfirmed,Manhattan,Upper East Side,40.75969,-73.96071,True,flexible,Entire home/apt,2015,495.0,99.0,30,0,0.74,5.0,65,364
unconfirmed,Manhattan,Murray Hill,40.7444,-73.97284,True,flexible,Entire home/apt,2016,953.0,191.0,30,0,0.74,4.0,65,364
verified,Manhattan,Financial District,40.70856,-74.00659,True,flexible,Entire home/apt,2015,89.0,18.0,29,0,0.74,4.0,96,332
